I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
6.811356,25.293589,1.180989,-0.000954,1e-06,-2.0158,0.924982,0.38001,9.72282,1
6.784103,25.302166,1.181009,-0.003618,1.3e-05,-6.392815,0.924975,0.379997,9.784743,1
6.784431,25.305719,1.180991,-0.004433,2e-05,-0.788372,0.924983,0.380014,9.703974,1
6.807686,25.291048,1.181,0.003845,1.5e-05,0.24613,0.924987,0.380002,9.793717,1
6.842712,25.306067,1.180985,-0.002666,7e-06,1.423577,0.924981,0.380007,9.815256,1
6.824196,25.295933,1.181001,0.003353,1.1e-05,3.133491,0.924987,0.379999,9.771282,1
6.826401,25.293703,1.181,0.000834,1e-06,0.362925,0.924987,0.38,9.857435,1
6.846336,25.292482,1.181,-0.001309,2e-06,-1.307335,0.924987,0.380006,9.76859,1
6.855721,25.302383,1.180988,-0.000239,0.0,-0.003941,0.924982,0.38001,9.808974,1
6.889091,25.304895,1.18099,-0.00132,2e-06,0.804408,0.924983,0.38,9.793717,1
6.874405,25.295904,1.181016,-0.00024,0.0,-4.84286,0.924993,0.37998,9.73,1
6.844063,25.305828,1.181017,-0.008066,6.5e-05,-7.316064,0.924978,0.38,9.782948,1
6.90657,25.292233,1.181003,0.000346,0.0,-2.37712,0.924987,0.380002,9.764999,1
6.876343,25.29501,1.181007,0.001192,1e-06,-3.293449,0.924974,0.380001,9.762307,1
6.875175,25.297405,1.181,0.0,0.0,-1.538078,0.924987,0.38,9.777564,1
6.870338,25.306551,1.180979,-0.00287,8e-06,0.4534,0.924979,0.380026,9.793717,1
6.885651,25.297514,1.180965,-0.002145,5e-06,-2.144034,0.924973,0.38004,9.721923,1
6.891571,25.298407,1.180948,-0.005644,3.2e-05,-4.474359,0.924967,0.38005,9.799103,1
6.914093,25.301573,1.180936,-0.001198,1e-06,1.841888,0.924962,0.380051,9.742564,1
6.928802,25.290245,1.180962,0.000942,1e-06,-1.709495,0.924972,0.380045,9.762307,1
6.943726,25.280874,1.180969,0.0089,7.9e-05,-0.539288,0.924975,0.380022,9.825128,1
6.953278,25.290546,1.180967,0.002737,7e-06,4.630814,0.924974,0.380029,9.812564,1
6.946754,25.298553,1.18096,-0.003943,1.6e-05,-5.380678,0.924971,0.380043,9.782948,1
6.969734,25.295481,1.180949,-0.00132,2e-06,0.924662,0.924967,0.380046,9.731794,1
6.933098,25.313601,1.180929,-0.006877,4.7e-05,-1.977054,0.92496,0.380071,9.755128,1
6.980186,25.302387,1.180926,0.000485,0.0,0.849921,0.924943,0.380074,9.770385,1
6.919159,25.290327,1.180915,0.00392,1.5e-05,5.523825,0.924954,0.380082,9.755128,1
6.958344,25.29796,1.18091,0.002527,6e-06,-1.589484,0.924952,0.38008,9.704871,1
6.922714,25.307951,1.180898,-0.001804,3e-06,3.558299,0.924948,0.380094,9.695,1
6.936501,25.304607,1.180902,0.002545,6e-06,1.871608,0.924949,0.380094,9.797307,1
6.968567,25.294462,1.180911,0.001217,1e-06,-3.553749,0.924953,0.380088,9.748846,1
6.962471,25.309919,1.180904,0.000362,0.0,-0.180091,0.92495,0.380083,9.744359,1
6.923744,25.2966,1.180924,0.003601,1.3e-05,-1.339093,0.924942,0.380078,9.82423,1
6.901627,25.297569,1.180909,-0.001619,3e-06,0.05614,0.924952,0.380088,9.721923,1
6.916336,25.30674,1.1809,-0.000726,1e-06,1.509997,0.924949,0.380093,9.786538,1
6.889297,25.292246,1.180912,0.003969,1.6e-05,0.683767,0.924953,0.380079,9.79641,1
6.910149,25.305161,1.180915,-0.004691,2.2e-05,-2.6006,0.924954,0.380086,9.736281,1
6.886597,25.300022,1.180906,0.000963,1e-06,0.374608,0.924951,0.380085,9.72641,1
